"ini_monit","mac_local","mac_destino","rssi","lqi","latencia","desconexion","tiempo"
2019-02-25 11:44:28,"0010","0006",-93,108,5.09474968910217,1,1551095068
2019-02-25 11:44:28,"0010","0002",-100,108,5.09474968910217,1,1551095068
2019-02-25 11:44:34,"0010","0004",-54,108,0.0980391502380371,0,1551095074
2019-02-25 11:44:34,"0010","0005",-96,108,0.0980391502380371,0,1551095074
2019-02-25 11:44:34,"0010","0006",-93,108,0.0980391502380371,0,1551095074
2019-02-25 11:44:34,"0010","0002",-100,108,0.0980391502380371,0,1551095074
2019-02-25 11:44:40,"0010","0004",-54,108,0.0989933013916016,0,1551095080
2019-02-25 11:44:40,"0010","0005",-96,108,0.0989933013916016,0,1551095080
2019-02-25 11:44:40,"0010","0006",-93,108,0.0989933013916016,0,1551095080
2019-02-25 11:44:40,"0010","0002",-100,108,0.0989933013916016,0,1551095080
2019-02-25 11:44:41,"0010","0004",-54,108,0.0979940891265869,0,1551095081
2019-02-25 11:44:41,"0010","0005",-96,108,0.0979940891265869,0,1551095081
2019-02-25 11:44:41,"0010","0006",-93,108,0.0979940891265869,0,1551095081
2019-02-25 11:44:41,"0010","0002",-100,108,0.0979940891265869,0,1551095081
2019-02-25 11:44:47,"0010","0004",-55,108,0.0990364551544189,0,1551095087
2019-02-25 11:44:47,"0010","0005",-97,107,0.0990364551544189,0,1551095087
2019-02-25 11:44:47,"0010","0006",-94,107,0.0990364551544189,0,1551095087
2019-02-25 11:44:47,"0010","0002",-99,107,0.0990364551544189,0,1551095087
2019-02-25 11:44:49,"0010","0004",-54,108,0.10101842880249,0,1551095089
2019-02-25 11:44:49,"0010","0005",-95,108,0.10101842880249,0,1551095089
2019-02-25 11:44:49,"0010","0006",-93,108,0.10101842880249,0,1551095089
2019-02-25 11:44:49,"0010","0002",-99,108,0.10101842880249,0,1551095089
2019-02-25 11:44:51,"0010","0004",-54,108,0.198028564453125,0,1551095091
2019-02-25 11:44:51,"0010","0005",-95,108,0.198028564453125,0,1551095091
2019-02-25 11:44:51,"0010","0006",-93,108,0.198028564453125,0,1551095091
2019-02-25 11:44:51,"0010","0002",-99,108,0.198028564453125,0,1551095091
2019-02-25 11:44:57,"0010","0004",-54,108,0.102993249893188,0,1551095097
2019-02-25 11:44:57,"0010","0005",-95,108,0.102993249893188,0,1551095097
2019-02-25 11:44:57,"0010","0006",-93,108,0.102993249893188,0,1551095097
2019-02-25 11:44:57,"0010","0002",-99,108,0.102993249893188,0,1551095097
2019-02-25 11:44:59,"0010","0004",-54,108,0.0989933013916016,0,1551095099
2019-02-25 11:44:59,"0010","0005",-95,108,0.0989933013916016,0,1551095099
2019-02-25 11:44:59,"0010","0006",-93,108,0.0989933013916016,0,1551095099
2019-02-25 11:44:59,"0010","0002",-99,108,0.0989933013916016,0,1551095099
2019-02-25 11:45:05,"0010","0004",-54,108,0.0999805927276611,0,1551095105
2019-02-25 11:45:05,"0010","0005",-95,108,0.0999805927276611,0,1551095105
2019-02-25 11:45:05,"0010","0006",-93,108,0.0999805927276611,0,1551095105
2019-02-25 11:45:05,"0010","0002",-99,108,0.0999805927276611,0,1551095105
2019-02-25 11:45:06,"0010","0004",-54,108,0.0999958515167236,0,1551095106
2019-02-25 11:45:06,"0010","0005",-95,108,0.0999958515167236,0,1551095106
2019-02-25 11:45:06,"0010","0006",-93,108,0.0999958515167236,0,1551095106
2019-02-25 11:45:06,"0010","0002",-99,108,0.0999958515167236,0,1551095106
2019-02-25 11:45:12,"0010","0004",-55,108,0.104042530059814,0,1551095112
2019-02-25 11:45:12,"0010","0005",-95,108,0.104042530059814,0,1551095112
2019-02-25 11:45:12,"0010","0006",-91,108,0.104042530059814,0,1551095112
2019-02-25 11:45:12,"0010","0002",-100,108,0.104042530059814,0,1551095112
2019-02-25 11:45:14,"0010","0004",-55,108,0.0999939441680908,0,1551095114
2019-02-25 11:45:14,"0010","0005",-95,108,0.0999939441680908,0,1551095114
2019-02-25 11:45:14,"0010","0006",-91,108,0.0999939441680908,0,1551095114
2019-02-25 11:45:14,"0010","0002",-100,108,0.0999939441680908,0,1551095114
2019-02-25 11:45:19,"0010","0004",-55,108,0.103993654251099,0,1551095119
2019-02-25 11:45:19,"0010","0005",-95,108,0.103993654251099,0,1551095119
2019-02-25 11:45:19,"0010","0006",-91,108,0.103993654251099,0,1551095119
2019-02-25 11:45:19,"0010","0002",-100,108,0.103993654251099,0,1551095119
2019-02-25 11:45:21,"0010","0004",-55,108,0.0990457534790039,0,1551095121
2019-02-25 11:45:21,"0010","0005",-95,108,0.0990457534790039,0,1551095121
2019-02-25 11:45:21,"0010","0006",-91,108,0.0990457534790039,0,1551095121
2019-02-25 11:45:21,"0010","0002",-100,108,0.0990457534790039,0,1551095121
2019-02-25 11:45:27,"0010","0004",-55,108,0.127044677734375,0,1551095127
2019-02-25 11:45:27,"0010","0005",-95,108,0.127044677734375,0,1551095127
2019-02-25 11:45:27,"0010","0006",-92,108,0.127044677734375,0,1551095127
2019-02-25 11:45:27,"0010","0002",-98,108,0.127044677734375,0,1551095127
2019-02-25 11:45:28,"0010","0004",-54,108,0.0989971160888672,0,1551095128
2019-02-25 11:45:28,"0010","0005",-95,108,0.0989971160888672,0,1551095128
2019-02-25 11:45:28,"0010","0006",-92,108,0.0989971160888672,0,1551095128
2019-02-25 11:45:28,"0010","0002",-98,103,0.0989971160888672,0,1551095128
2019-02-25 11:45:35,"0010","0004",-54,108,0.0989961624145508,0,1551095135
2019-02-25 11:45:35,"0010","0005",-95,108,0.0989961624145508,0,1551095135
2019-02-25 11:45:35,"0010","0006",-92,108,0.0989961624145508,0,1551095135
2019-02-25 11:45:35,"0010","0002",-98,108,0.0989961624145508,0,1551095135
2019-02-25 11:45:37,"0010","0004",-54,108,0.0980305671691895,0,1551095137
